s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
123.3253	118.3534	112.9936	128.3262	121.8746	116.4479	120.9925	125.9252	115.552	121.7146	118.2731	118.1287	123.6432	124.3413	112.0822	114.8617	112.3517	114.0482	116.4054	115.8357	117.2431	124.0517	113.1326	118.3117	113.4118	118.6661	110.307	114.3468	114.6555	113.8428	115.761	113.5177	114.0479	109.9056	119.4939	106.5539	115.2918	114.3713	114.6482	114.3923	0.497111082077
123.3783	118.4007	112.9279	128.1495	121.7604	116.5602	120.8758	125.9778	115.4376	121.8356	118.1579	118.0617	123.5743	123.9896	112.0822	114.9705	112.4219	113.7677	116.6255	115.7225	117.1148	123.9395	113.1326	118.3117	113.6515	118.7811	110.307	114.1415	114.5417	113.6193	115.7106	113.5177	114.0036	109.8129	119.3992	106.5539	115.1761	114.3069	114.6482	114.4452	0.510936021805
123.3253	118.4007	112.8761	128.3262	121.8746	116.4956	120.8972	125.9252	115.552	121.8356	118.2223	118.0617	123.5743	124.1692	112.0822	114.9705	112.5826	113.8755	116.525	115.7225	117.062	124.0517	113.0188	118.3117	113.5317	118.6661	110.307	114.2303	114.3759	113.731	115.7106	113.5177	113.9339	109.8839	119.4466	106.5114	115.2463	114.2542	114.7145	114.4452	0.524498224258
123.3783	118.4007	112.9417	128.2664	121.8746	116.4479	121.0402	125.9778	115.552	121.902	118.1579	117.9177	123.3367	124.1068	111.96	115.0867	112.5826	113.8755	116.4556	115.8357	117.2959	124.0517	113.298	118.0755	113.5317	118.4975	110.2621	114.1139	114.5417	113.7797	115.6487	113.4663	114.0036	109.933	119.4466	106.5965	115.2007	114.3713	114.7145	114.5571	0.538340091705
123.2101	118.4479	112.9936	128.2093	121.8123	116.4479	121.226	125.9778	115.552	122.0111	117.9919	118.1767	123.5743	124.1692	111.8934	114.9161	112.5826	114.0482	116.4054	115.8357	117.062	123.9395	113.1326	118.3117	113.5869	118.6661	110.307	114.2303	114.5417	113.6679	115.761	113.5177	114.0036	109.7638	119.4939	106.5114	115.2918	114.3713	114.7012	114.4452	0.552143096924
123.3253	118.3534	112.8761	128.3262	121.7085	116.4002	120.8282	125.8584	115.552	121.8356	118.2731	117.9657	123.4555	123.9896	111.96	114.9705	112.5373	114.0482	116.6949	115.6757	117.062	124.0517	113.1326	118.3117	113.5317	118.551	110.307	114.1139	114.5417	113.7797	115.8229	113.5177	114.1176	109.8839	119.4466	106.484	115.2007	114.4884	114.6482	114.4452	0.566011190414
123.2724	118.4007	112.8242	128.1495	121.7085	116.2707	121.1093	126.0446	115.4376	121.7811	118.1579	118.0137	123.4555	124.0444	111.96	114.9161	112.5826	113.7567	116.5753	115.7225	117.2959	124.1087	113.298	118.3117	113.5317	118.6125	110.307	114.1859	114.5417	113.8428	115.6487	113.6358	113.9593	109.7638	119.4466	106.5114	115.2463	114.3186	114.7012	114.4452	0.580881118774
123.2101	118.5171	112.7068	128.3262	121.7085	116.4002	120.9925	125.9778	115.6663	121.7811	118.1579	118.1287	123.4555	124.3413	112.0822	114.9161	112.2363	113.8755	116.525	115.8357	117.179	123.9395	113.0188	118.3117	113.642	118.6125	110.307	114.1415	114.6555	113.6679	115.761	113.5177	114.0036	109.8348	119.4466	106.5965	115.2918	114.4884	114.6482	114.3923	0.593373060226
123.3253	118.4698	112.8242	128.2664	121.7085	116.3355	121.1093	125.9252	115.4922	121.7811	118.2731	118.1767	123.5245	124.1692	112.0266	115.0322	112.3517	113.8755	116.4054	115.7693	117.2318	124.0517	113.1326	118.3117	113.5869	118.6125	110.3519	114.1859	114.5417	113.8915	115.6487	113.5177	114.0479	109.933	119.3992	106.5539	115.2918	114.3713	114.6482	114.3923	0.607426166534
123.3159	118.4007	112.7586	128.2093	121.8227	116.4479	121.0879	125.9778	115.6066	121.9565	118.1579	118.1287	123.4058	124.4038	112.0266	115.1411	112.3517	113.9294	116.5753	115.7225	117.1148	123.9964	113.1842	118.3117	113.5317	118.6661	110.307	113.953	114.4279	113.8284	115.7106	113.5177	114.0479	109.9548	119.4939	106.6665	115.2463	114.3713	114.6482	114.4452	0.621017217636
123.2101	118.5643	112.8242	128.1495	121.7085	116.4479	121.1093	125.9252	115.552	121.9565	118.1071	118.1096	123.5245	124.4038	112.0155	115.0322	112.4219	114.0482	116.4054	115.7693	117.179	123.9395	113.1326	118.3117	113.5317	118.6661	110.2621	114.1415	114.5937	113.7797	115.7106	113.5177	114.0036	109.7638	119.4466	106.5114	115.2918	114.3186	114.5953	114.4982	0.634943008423
123.2101	118.4479	112.9936	128.1495	121.7085	116.5602	120.8282	125.9252	115.4376	121.9565	118.1579	118.1287	123.5245	124.224	112.0266	114.9161	112.5826	113.9403	116.4556	115.8357	117.062	123.9964	113.0188	118.3117	113.5317	118.6125	110.307	114.1583	114.6555	113.7797	115.7106	113.5177	114.0479	109.6437	119.4466	106.5539	115.1306	114.2016	114.7145	114.3923	0.648593187332
123.3253	118.5643	112.8761	128.2093	121.8227	116.4002	120.9925	126.164	115.6663	121.9565	118.2731	118.1287	123.6432	124.3413	112.2599	114.8617	112.2363	113.8755	116.4747	115.7888	117.2959	124.0517	113.2464	118.2535	113.7067	118.551	110.307	114.1859	114.5417	113.7941	115.761	113.6358	114.0036	109.9548	119.3712	106.5114	115.2463	114.2542	114.7145	114.4452	0.662623167038
123.2101	118.5171	112.7068	128.3262	121.7085	116.2879	120.8758	126.0446	115.6663	121.7811	118.3884	118.1287	123.5245	124.2788	112.0822	114.9705	112.3517	114.0482	116.5753	115.8357	117.062	123.9395	113.2464	118.3117	113.5317	118.6046	110.307	114.1859	114.5417	113.8915	115.8734	113.5177	114.1176	109.8839	119.3519	106.5114	115.2918	114.3713	114.7012	114.616	0.676192045212
123.1573	118.5861	113.0455	128.2664	121.7604	116.4002	120.8282	125.8725	115.6663	121.902	118.3375	118.1767	123.5743	124.2788	111.96	114.9161	112.5826	113.8216	116.525	115.7225	117.179	124.0517	113.0188	118.3117	113.5317	118.551	110.3968	114.2303	114.5417	113.8915	115.761	113.569	114.1176	109.7147	119.4939	106.7091	115.1306	114.3186	114.7012	114.3923	0.689951181412
123.3253	118.4007	112.8242	128.1495	121.7604	116.5602	120.9925	125.9252	115.552	121.7811	118.2223	118.0137	123.6432	123.9896	111.9045	115.0322	112.5826	114.0482	116.4054	115.7225	117.3487	123.9395	113.1326	118.3117	113.5869	118.4975	110.3519	114.1415	114.4279	113.6193	115.7106	113.4663	114.1176	109.933	119.4466	106.6665	115.3619	114.266	114.5953	114.3923	0.703732013702
123.3783	118.5171	112.8761	128.2664	121.8746	116.5602	120.9925	125.9778	115.552	121.7811	118.2731	118.0137	123.5743	124.1692	111.96	114.9705	112.4219	113.8755	116.525	115.7225	117.2959	124.0517	113.0188	118.1936	113.5317	118.6125	110.307	114.1859	114.5417	113.7797	115.761	113.5177	114.1176	109.8129	119.4466	106.5539	115.2007	114.3713	114.6482	114.3923	0.717476129532
123.3253	118.5171	112.9936	128.2664	121.7085	116.4648	121.1093	125.8058	115.552	121.902	118.3884	118.1767	123.5743	124.1068	111.7825	114.8617	112.4672	113.9403	116.5058	115.6289	117.2959	123.9395	113.0188	118.1936	113.5869	118.6661	110.1689	114.2303	114.4279	113.8915	115.6487	113.6872	113.8896	109.8348	119.4939	106.7091	115.4075	114.3186	114.6482	114.4452	0.731496095657
123.4312	118.4479	112.8761	128.1495	121.7085	116.5602	121.1093	125.7389	115.6663	121.8356	118.1071	118.0137	123.762	124.1068	112.3264	114.9705	112.5826	113.9294	116.4054	115.7888	117.2431	123.9395	113.2464	118.3117	113.5317	118.7274	110.307	114.1415	114.6555	113.7797	115.6487	113.5177	114.1619	109.8348	119.5692	106.7091	115.4075	114.4356	114.6482	114.3923	0.744963169098
123.3783	118.6116	112.8761	128.2664	121.7085	116.4479	121.0616	125.9778	115.552	121.7811	118.3375	118.2436	123.4058	124.0444	111.9045	114.9777	112.5373	113.8755	116.4747	115.7888	117.2959	124.1087	113.1326	118.3117	113.5317	118.4975	110.1932	114.2303	114.5417	113.7797	115.6603	113.6358	114.0036	109.933	119.2766	106.5114	115.3373	114.3713	114.5953	114.616	0.758875131607
123.3783	118.5171	112.9279	128.2664	121.7085	116.5125	121.0616	125.8725	115.6663	121.9565	118.1579	118.0137	123.5245	124.3413	112.0822	115.0322	112.3065	113.8216	116.4556	115.7888	117.1262	123.9964	113.1948	118.3117	113.5317	118.6661	110.3519	114.2303	114.6555	113.8915	115.761	113.6358	114.0036	109.8129	119.4939	106.5539	115.2463	114.3713	114.4761	114.5571	0.772579193115
123.3783	118.5171	112.9936	128.2664	121.8227	116.5602	120.9925	125.8725	115.6663	121.8356	118.3884	118.0806	123.5743	124.2788	111.9045	115.0322	112.5826	113.9943	116.525	115.7225	117.2959	124.0517	113.298	118.2535	113.5317	118.4975	110.3968	114.2303	114.5417	113.8915	115.761	113.5177	114.0036	109.933	119.3519	106.6665	115.1306	114.3713	114.529	114.4452	0.786565065384
123.3783	118.5643	112.9417	128.0897	121.8746	116.5602	121.0402	125.8584	115.552	121.9565	117.9919	118.0617	123.4555	124.3413	111.96	114.9705	112.5373	113.9403	116.4054	115.8357	117.2959	123.9947	113.0188	118.3117	113.5317	118.8347	110.307	114.1859	114.4279	113.7797	115.761	113.4663	114.2063	109.933	119.4939	106.5539	115.2007	114.2542	114.7012	114.4511	0.800121068954
123.3783	118.5643	112.8242	128.2066	121.8227	116.4479	121.1093	125.8725	115.552	121.8356	118.2731	118.0617	123.5245	124.1068	111.96	114.8617	112.397	113.9294	116.4054	115.8357	117.179	124.0517	113.1326	118.3117	113.4118	118.6661	110.3519	114.1859	114.6555	113.731	115.761	113.6358	114.0036	109.8839	119.3992	106.5539	115.2463	114.4884	114.529	114.4452	0.813914060593
123.1573	118.4007	113.0455	128.3833	121.8227	116.5125	120.9449	125.9252	115.552	121.9565	118.3884	117.9657	123.5743	124.1068	112.0266	114.9161	112.3065	113.8216	116.525	115.8357	117.1148	123.9947	113.1326	118.3117	113.5317	118.6125	110.3519	114.2303	114.5417	113.7797	115.6487	113.6872	114.1619	109.8839	119.4466	106.779	115.2918	114.4884	114.6482	114.4452	0.827648162842
123.1573	118.5643	112.9417	128.2664	121.7604	116.608	121.226	125.9778	115.552	121.8901	118.2731	118.0617	123.5245	124.1068	111.7825	114.9161	112.5826	114.0482	116.4054	115.8357	117.2959	124.0517	113.298	118.3117	113.5869	118.6661	110.1932	114.1859	114.5417	113.8428	115.761	113.6872	114.0036	109.9548	119.4466	106.6238	115.2463	114.2542	114.529	114.6101	0.841500997543
123.3253	118.3534	112.9936	128.1495	121.8227	116.4479	121.1093	125.9778	115.6066	121.9565	118.2731	117.9657	123.6931	124.1068	111.9045	114.8617	112.5373	113.8755	116.6446	115.8357	117.062	124.1087	113.2464	118.3117	113.5317	118.6738	110.307	114.2303	114.5417	113.8915	115.761	113.6358	114.1176	110.004	119.4939	106.7091	115.2918	114.3069	114.7675	114.4982	0.855364084244
123.2724	118.5171	112.8761	128.3833	121.7085	116.4002	120.9234	126.164	115.4376	121.9565	118.2223	118.0137	123.5245	124.1692	112.0822	114.9232	112.5373	113.9403	116.525	115.8357	117.179	124.1656	113.1326	118.3117	113.5317	118.551	110.1932	114.2748	114.4279	113.8284	115.761	113.6358	114.1619	110.004	119.4466	106.5539	115.4075	114.4884	114.7675	114.3923	0.868907213211
123.3253	118.6335	112.9936	128.2066	121.7604	116.4479	121.1093	125.9778	115.552	122.0111	118.3884	118.0617	123.5245	123.9272	111.7825	114.8617	112.4672	113.8755	116.525	115.7888	117.2318	123.7704	113.1842	118.2535	113.4118	118.8961	110.1932	114.1415	114.7076	113.8915	115.8734	113.6358	113.9339	109.8839	119.4185	106.5539	115.2918	114.2016	114.5953	114.5571	0.882110118866
123.263	118.4007	112.9936	128.3833	121.7085	116.5125	120.9925	125.8725	115.552	121.8474	118.2731	118.0617	123.5245	124.0444	112.0822	114.9161	112.4672	113.9403	116.5753	115.7888	117.2959	123.9964	113.1326	118.3117	113.5869	118.6661	110.307	114.1859	114.4279	113.7797	115.761	113.6358	114.1176	109.7147	119.4466	106.7363	115.4075	114.4884	114.5953	114.5571	0.895747184753
123.263	118.5643	112.9936	128.3262	121.8227	116.4479	121.157	126.0973	115.6663	121.7811	118.1579	118.1767	123.5743	124.2788	112.0822	114.9161	112.5826	113.8216	116.525	115.8357	117.179	123.9947	113.2464	118.3117	113.467	118.6125	110.307	114.1859	114.4279	113.8915	115.7106	113.6358	114.0036	109.8839	119.4466	106.5539	115.2463	114.424	114.7012	114.3923	0.910463094711
