s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.268	120.0575	113.6854	130.6697	124.0881	116.9452	121.3428	126.7475	116.0046	123.7051	118.2731	118.1767	123.5245	124.5757	112.6263	114.7456	112.0054	113.9943	116.5753	115.8357	116.7755	123.154	113.0188	117.8412	113.5317	117.6927	109.5346	113.5596	114.2003	113.3957	114.4257	112.42	113.004	108.9455	118.6636	106.5114	113.9996	113.3303	113.5891	113.9448
125.2143	119.9409	113.5678	130.6697	124.2639	117.0576	121.3428	126.5222	115.8354	123.7051	118.3884	118.2917	123.6432	124.6383	112.5706	114.8617	111.89	114.059	116.6255	115.8357	116.7755	123.2662	113.0188	117.9574	113.4765	117.6395	109.693	113.5596	114.2003	113.3957	114.5379	112.42	113.0479	109.0655	118.4941	106.4688	114.1152	113.3303	113.5891	113.9448
125.3297	119.9409	113.6854	130.6697	124.3167	116.8973	121.3428	126.4556	115.8354	123.6499	118.2731	118.2436	123.6432	124.8101	112.4485	114.9777	112.0054	113.9943	116.5753	115.8357	116.7755	123.2095	113.0188	117.9574	113.5869	117.4715	109.5792	113.6759	114.2003	113.3957	114.4257	112.4709	113.0479	109.0655	118.3715	106.4262	114.1152	113.3826	113.6416	113.9448
125.3834	120.0575	113.6854	130.6697	124.4311	116.7849	121.3906	126.6945	115.8951	123.4631	118.3884	118.4067	123.762	124.8101	112.5599	114.8617	111.9152	113.9403	116.7642	115.8357	116.7755	123.0974	113.0188	117.8993	113.4118	117.5246	109.6238	113.5154	114.2003	113.3472	114.488	112.5728	112.8901	109.1855	118.4941	106.4262	113.9996	113.0442	113.6416	113.9448
125.3834	119.9409	113.5678	130.7868	124.0881	116.9452	121.3906	126.7475	116.1238	123.7051	118.3884	118.3586	123.762	124.5757	112.4485	114.8	111.9603	114.059	116.6949	115.7225	116.8924	123.3217	113.0188	117.8993	113.5869	117.5246	109.5792	113.5596	114.1484	113.4442	114.3758	112.5889	113.1618	109.0655	118.4471	106.5812	114.1152	113.3303	113.6416	113.892
125.2143	119.9409	113.5678	130.7868	124.0881	117.0097	121.4384	126.814	116.1191	123.7051	118.3884	118.1955	123.9306	124.5131	112.4485	114.9161	111.9603	113.8755	116.7642	115.8357	116.7755	123.0974	113.0188	117.8393	113.6515	117.5778	109.693	113.5596	114.2003	113.3957	114.5502	112.6399	113.0479	109.1366	118.6166	106.5812	114.1152	113.3303	113.6416	113.8393
125.2143	119.9409	113.6198	130.6697	124.0881	116.9452	121.3906	126.7475	115.9498	123.6499	118.2223	118.4549	123.7429	124.6303	112.4485	114.9777	111.89	113.8864	116.8145	115.8357	116.8282	123.3217	113.0703	117.9574	113.4118	117.5246	109.5792	113.5154	114.1484	113.5561	114.4381	112.4709	113.0479	109.0655	118.6166	106.5812	113.9996	113.3303	113.6416	113.892
125.1607	119.8453	113.6198	130.7868	124.0881	116.9617	121.4384	126.5222	116.0094	123.7051	118.3375	118.2917	123.8119	124.8101	112.5042	114.9161	111.9603	113.9943	116.6949	115.8357	116.9451	123.3217	113.0188	117.8993	113.467	117.6395	109.693	113.5596	114.1484	113.4928	114.488	112.4709	113.1618	109.2344	118.541	106.4688	113.9996	113.3303	113.6416	113.892
125.2143	119.9409	113.6198	130.6697	124.0881	116.8973	121.4384	126.628	116.0642	123.7604	118.3884	118.3105	123.762	124.8101	112.6263	114.9161	112.0054	113.8755	116.6446	115.7888	116.8924	123.4906	113.0188	117.7812	113.5317	117.7545	109.6238	113.6759	114.1484	113.5075	114.5379	112.5889	113.0918	108.9455	118.4941	106.5385	113.9996	113.4996	113.6416	114.0039
125.445	119.9409	113.5678	130.9647	124.4311	116.7204	121.3428	126.5887	116.0642	123.7051	118.3884	118.2917	123.5245	124.8728	112.6263	114.8617	112.0757	114.0482	116.8145	115.8357	116.7755	123.3217	113.0188	117.9574	113.5869	117.5246	109.7377	113.6759	114.2003	113.4442	114.6002	112.4709	113.0918	109.1855	118.588	106.6238	113.9996	113.3826	113.5365	113.7802
125.268	119.8931	113.5678	130.8476	123.9825	117.0097	121.3428	126.7475	116.0094	123.4631	118.3884	118.2917	123.8119	124.5131	112.6263	114.9161	112.1209	113.9943	116.6949	115.7225	116.8282	123.2095	113.0703	117.8412	113.4118	117.6927	109.6483	113.6317	114.1484	113.3472	114.4257	112.42	113.0479	109.1366	118.541	106.6238	113.9996	113.0442	113.5891	113.833
125.2143	120.0575	113.5678	130.7868	124.2024	116.8973	121.3906	126.6945	116.0094	123.8157	118.3884	118.2917	123.8119	124.6383	112.5706	114.8617	111.9603	114.113	116.6446	115.8357	116.7755	123.3217	113.0188	117.8393	113.5317	117.4715	109.5792	113.7202	114.2003	113.4442	114.3758	112.4709	113.004	109.0655	118.541	106.4688	114.1152	113.4473	113.6416	113.892
125.3297	119.9409	113.5678	130.6697	124.0881	116.9617	121.3906	126.6945	116.1786	123.7051	118.3884	118.2917	123.6931	124.5131	112.5042	114.9161	111.9603	113.8864	116.7642	115.8825	116.6587	123.154	113.0703	117.9574	113.5317	117.8077	109.693	113.5596	114.2003	113.284	114.488	112.6399	113.0479	109.0655	118.4941	106.5812	114.0701	113.4996	113.5891	113.7802
125.3297	119.9409	113.5678	130.9038	124.2639	117.0097	121.3428	126.5751	116.0642	123.7051	118.3884	118.4067	123.6931	124.8101	112.5706	114.9161	112.1209	113.9943	116.6949	115.8357	116.8924	123.154	113.0188	117.6632	113.5869	117.5863	109.693	113.6038	114.1484	113.3957	114.5379	112.4709	113.1179	109.0655	118.7106	106.4688	114.1152	113.3826	113.5891	114.1157
125.1607	120.0575	113.6854	130.6697	124.3167	117.0097	121.295	126.6945	115.8902	123.5289	118.2223	118.2436	123.8807	124.6383	112.3264	114.9161	111.9603	113.9943	116.525	115.8357	116.7755	123.3784	113.0188	117.8393	113.5317	117.5246	109.7377	113.5154	114.2003	113.3957	114.488	112.5889	113.004	109.1143	118.4941	106.4688	114.1603	113.278	113.5891	113.892
