s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.268	119.9409	113.7375	130.8476	124.0881	117.0576	121.4384	126.6416	116.0642	123.7051	118.4527	118.5218	123.8119	124.8728	112.5706	114.9777	112.1209	114.113	116.8838	115.8357	116.9978	123.4339	113.0188	117.9574	113.5317	117.8694	109.7377	113.6317	114.3141	113.5075	114.6501	112.538	113.1618	109.0167	118.7862	106.5812	114.2307	113.3826	113.7608	114.1157
125.445	120.0575	113.5678	130.7868	124.0353	117.0097	121.5074	126.814	116.1191	123.5841	118.5036	118.4549	123.9306	124.8101	112.6263	115.0322	112.0757	113.8864	116.9342	115.9489	116.8924	123.4339	113.0188	117.8393	113.5869	117.7545	109.693	113.9974	114.3141	113.6193	114.7624	112.5219	113.1618	109.1366	118.6636	106.6936	114.3463	113.4473	113.7608	114.1157
125.5603	119.7766	113.5678	130.7305	124.0353	117.0097	121.3428	126.814	115.9498	123.7051	118.5036	118.2436	123.9306	124.8728	112.5706	114.8617	112.1209	114.0482	116.7642	115.9489	116.8924	123.3217	113.1326	117.9574	113.5317	117.7545	109.693	113.7202	114.2622	113.5075	114.7124	112.5889	113.004	109.1855	118.6166	106.5812	114.2759	113.4473	113.7608	114.1157
125.4988	120.0575	113.5678	130.7868	124.3167	117.0576	121.3428	126.7475	116.1786	123.7051	118.5036	118.5218	123.762	124.8728	112.6821	114.9705	111.9152	113.9943	116.9342	115.8357	116.8924	123.3217	113.0188	117.9574	113.5317	117.8077	109.8068	113.6759	114.1484	113.5075	114.6501	112.5219	112.9339	109.0655	118.7862	106.6936	114.2759	113.4473	113.8274	114.0039
125.5603	119.9409	113.6198	130.7868	124.0353	117.0576	121.3428	126.7475	116.0094	123.7051	118.5036	118.5218	123.8807	124.8728	112.6263	114.9777	112.0054	113.9943	116.9342	115.8357	116.8924	123.3217	113.0188	117.9592	113.5869	117.7545	109.693	113.6759	114.3141	113.5561	114.7624	112.6399	113.2058	108.9943	118.7392	106.5812	114.2307	113.3303	113.7608	114.1157
125.3297	120.0575	113.5678	130.6697	124.1496	117.0097	121.3906	126.6416	116.0094	123.7051	118.5036	118.4736	123.8807	124.6383	112.5706	114.9705	111.9603	113.9943	116.6446	115.8357	116.9451	123.4339	113.0188	117.8993	113.5317	117.976	109.7621	113.7202	114.3141	113.5706	114.6501	112.4709	113.2058	109.1855	118.7392	106.5812	114.1152	113.4996	113.7608	114.1157
125.445	119.9409	113.6854	130.7868	124.0881	116.9452	121.3906	126.6945	116.1786	123.7051	118.3884	118.3586	123.6931	124.8101	112.6263	115.0322	112.0757	114.113	116.7642	115.8357	116.8924	123.4339	113.0188	118.0174	113.5317	117.7545	109.8068	113.7202	114.4279	113.5561	114.7624	112.538	113.1618	109.2344	118.8804	106.6936	114.2759	113.4473	113.7608	114.1685
125.3297	119.9409	113.6854	130.6697	124.0968	116.9452	121.3906	126.7475	116.0094	123.7604	118.5036	118.4736	123.9306	124.8728	112.6927	114.9161	112.0054	114.113	116.8838	115.902	116.9451	123.3217	113.0188	117.8412	113.5317	117.8077	109.693	113.6759	114.2622	113.6193	114.7624	112.758	113.0918	109.1143	118.7392	106.5812	114.2307	113.4473	113.7608	114.0039
125.445	120.0575	113.5678	130.7868	124.2024	116.8973	121.3906	126.6945	116.1786	123.7051	118.5036	118.5886	123.8119	124.6929	112.5706	114.8072	111.9603	114.113	116.9342	115.9489	116.8924	123.3217	113.0703	117.8993	113.5869	117.9227	109.6483	113.7923	114.3141	113.6532	114.7624	112.6909	113.1618	109.0655	118.6166	106.5812	114.2307	113.4473	113.7608	114.1157
125.2143	119.9887	113.5678	130.7868	124.4311	116.9617	121.5553	126.814	116.0094	123.8261	118.5036	118.2436	123.8807	124.8728	112.5706	114.9705	112.1209	113.9943	116.9342	115.8357	116.8397	123.4339	113.0188	117.8393	113.5869	117.9227	109.6483	113.6038	114.2622	113.6679	114.6501	112.758	113.0479	109.1143	118.7106	106.5114	114.2307	113.4996	113.8134	114.1157
